I#	607|Skeletal Muscle cell lysate 1st expt	608|Skeletal Muscle cell supnt 1st expt	609|Skeletal Muscle cell lysate 1st expt	610|Skeletal Muscle cell supnt 1st expt	611|Skeletal Muscle cell lysate 1st expt	612|Skeletal Muscle cell supnt 1st expt	613|Skeletal Muscle cell lysate 2nd expt	614|Skeletal Muscle cell supnt 2nd expt	615|Skeletal Muscle cell lysate 2nd expt	616|Skeletal Muscle cell supnt 2nd expt	617|Skeletal Muscle cell lysate 2nd expt	618|Skeletal Muscle cell supnt 2nd expt
SKP1	5.12055930458	nan	nan	nan	nan	nan	0.144010302692	nan	0.300448367477	nan	nan	nan
BCAP31	-0.153606979148	nan	nan	nan	-0.550042516372	nan	nan	nan	nan	nan	nan	nan
9-Sep	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.236163541109	nan
UGGT1	0.423309237242	nan	0.238786859587	nan	0.200378797984	nan	nan	nan	nan	nan	0.256700472112	nan
HSP90AB1	nan	nan	nan	-0.0827025893302	nan	nan	nan	nan	nan	nan	nan	0.260151897301
FKBP10	0.351628329103	nan	-0.015957573903	nan	nan	nan	nan	nan	nan	nan	nan	nan
NIN	0.00575926928868	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TPM4	nan	nan	nan	nan	0.0313951962755	nan	0.293358942691	nan	0.248107861596	nan	0.0709665213541	nan
CAST	0.0717626693001	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.337996463515	nan
CANX	-0.184424571137	nan	-0.125006361067	nan	-0.242976753493	nan	0.28278970098	nan	0.0573916638883	nan	0.120294233718	nan
HIST1H2AJ	-0.749038426467	nan	-0.349235440883	nan	-1.01741705308	nan	nan	nan	nan	nan	nan	nan
SSB	nan	nan	nan	nan	nan	nan	0.0831412353002	nan	-0.0786098346964	nan	nan	nan
PPIA	0.0510240030245	nan	nan	nan	nan	nan	0.132894270497	nan	-0.0071955014042	nan	-0.136191386287	nan
XRCC5	-0.0649174766813	nan	nan	nan	-0.147202107181	nan	0.220950447163	nan	-0.116364756692	nan	-0.046840254203	nan
-	nan	nan	nan	nan	nan	nan	nan	nan	0.0320936297099	nan	nan	nan
TGFB1I1	nan	nan	nan	nan	nan	nan	0.524915117051	nan	nan	nan	nan	nan
FN1	0.144046369617	0.875671864998	0.22897256976	1.11403524325	nan	nan	0.407363571393	nan	0.169744675832	nan	0.215914857265	nan
CARHSP1	nan	nan	nan	nan	-0.0174170530774	nan	nan	nan	nan	nan	nan	nan
MSH2	nan	nan	nan	nan	nan	nan	0.260151897301	nan	nan	nan	nan	nan
